nombre,sku,categoria,variante,talla,precio_venta,precio_costo,CTR,BLV
Sandalia Clásica,SAN,Damas,Negro,35,45.00,22.50,10,5
Sandalia Clásica,SAN,Damas,Negro,36,45.00,22.50,15,8
Sandalia Clásica,SAN,Damas,Negro,37,45.00,22.50,12,6
Sandalia Clásica,SAN,Damas,Rojo,35,45.00,22.50,3,2
Sandalia Clásica,SAN,Damas,Rojo,36,45.00,22.50,5,3
Botín Cuero,BOT,Damas,Marrón,36,75.00,37.50,4,2
Botín Cuero,BOT,Damas,Marrón,37,75.00,37.50,6,3
Botín Cuero,BOT,Damas,Marrón,38,75.00,37.50,8,4
Botín Cuero,BOT,Damas,Negro,36,75.00,37.50,2,1
Botín Cuero,BOT,Damas,Negro,37,75.00,37.50,3,2
Mocasín Clásico,MOC,Caballeros,,40,65.00,32.50,7,5
Mocasín Clásico,MOC,Caballeros,,41,65.00,32.50,10,6
Mocasín Clásico,MOC,Caballeros,,42,65.00,32.50,5,3
